id,review_id,category_id,rating_value,created_at
385,955,1,4.0,2025-06-18T16:33:04.437707
386,951,2,4.1,2025-06-18T16:33:04.437828
387,952,2,4.1,2025-06-18T16:33:04.437830
388,953,2,4.1,2025-06-18T16:33:04.437832
389,954,2,4.1,2025-06-18T16:33:04.437835
390,955,2,4.1,2025-06-18T16:33:04.437837
391,951,4,4.2,2025-06-18T16:33:04.437959
392,952,4,4.2,2025-06-18T16:33:04.437961
393,953,4,4.2,2025-06-18T16:33:04.437963
394,954,4,4.2,2025-06-18T16:33:04.437965
395,955,4,4.2,2025-06-18T16:33:04.437973
396,951,5,4.4,2025-06-18T16:33:04.438092
397,952,5,4.4,2025-06-18T16:33:04.438095
398,953,5,4.4,2025-06-18T16:33:04.438097
399,954,5,4.4,2025-06-18T16:33:04.438099
400,955,5,4.4,2025-06-18T16:33:04.438101
401,1001,1,4.2,2025-06-18T16:33:04.438215
402,1002,1,4.2,2025-06-18T16:33:04.438217
403,1003,1,4.2,2025-06-18T16:33:04.438219
404,1004,1,4.2,2025-06-18T16:33:04.438221
405,1005,1,4.2,2025-06-18T16:33:04.438224
406,1001,2,4.3,2025-06-18T16:33:04.438359
407,1002,2,4.3,2025-06-18T16:33:04.438361
408,1003,2,4.3,2025-06-18T16:33:04.438363
409,1004,2,4.3,2025-06-18T16:33:04.438365
410,1005,2,4.3,2025-06-18T16:33:04.438367
411,1001,4,4.4,2025-06-18T16:33:04.438487
412,1002,4,4.4,2025-06-18T16:33:04.438489
413,1003,4,4.4,2025-06-18T16:33:04.438492
414,1004,4,4.4,2025-06-18T16:33:04.438494
415,1005,4,4.4,2025-06-18T16:33:04.438496
416,1001,5,4.3,2025-06-18T16:33:04.438629
417,1002,5,4.3,2025-06-18T16:33:04.438631
418,1003,5,4.3,2025-06-18T16:33:04.438633
419,1004,5,4.3,2025-06-18T16:33:04.438636
420,1005,5,4.3,2025-06-18T16:33:04.438638
421,1051,1,4.1,2025-06-18T16:33:04.438750
422,1052,1,4.1,2025-06-18T16:33:04.438752
423,1053,1,4.1,2025-06-18T16:33:04.438754
424,1054,1,4.1,2025-06-18T16:33:04.438756
425,1055,1,4.1,2025-06-18T16:33:04.438758
426,1051,2,4.3,2025-06-18T16:33:04.438881
427,1052,2,4.3,2025-06-18T16:33:04.438883
428,1053,2,4.3,2025-06-18T16:33:04.438886
429,1054,2,4.3,2025-06-18T16:33:04.438888
430,1055,2,4.3,2025-06-18T16:33:04.438890
431,1051,4,4.3,2025-06-18T16:33:04.438998
432,1052,4,4.3,2025-06-18T16:33:04.439008
433,1053,4,4.3,2025-06-18T16:33:04.439010
434,1054,4,4.3,2025-06-18T16:33:04.439012
435,1055,4,4.3,2025-06-18T16:33:04.439015
436,1051,5,4.6,2025-06-18T16:33:04.439123
437,1052,5,4.6,2025-06-18T16:33:04.439132
438,1053,5,4.6,2025-06-18T16:33:04.439134
439,1054,5,4.6,2025-06-18T16:33:04.439136
440,1055,5,4.6,2025-06-18T16:33:04.439138
441,1101,1,4.5,2025-06-18T16:33:04.439252
442,1102,1,4.5,2025-06-18T16:33:04.439262
443,1103,1,4.5,2025-06-18T16:33:04.439265
444,1104,1,4.5,2025-06-18T16:33:04.439267
445,1105,1,4.5,2025-06-18T16:33:04.439269
446,1101,2,4.6,2025-06-18T16:33:04.439377
447,1102,2,4.6,2025-06-18T16:33:04.439379
448,1103,2,4.6,2025-06-18T16:33:04.439381
449,1104,2,4.6,2025-06-18T16:33:04.439384
450,1105,2,4.6,2025-06-18T16:33:04.439386
451,1101,4,4.6,2025-06-18T16:33:04.439494
452,1102,4,4.6,2025-06-18T16:33:04.439496
453,1103,4,4.6,2025-06-18T16:33:04.439501
454,1104,4,4.6,2025-06-18T16:33:04.439503
455,1105,4,4.6,2025-06-18T16:33:04.439505
456,1101,5,4.6,2025-06-18T16:33:04.439614
457,1102,5,4.6,2025-06-18T16:33:04.439616
458,1103,5,4.6,2025-06-18T16:33:04.439618
459,1104,5,4.6,2025-06-18T16:33:04.439621
460,1105,5,4.6,2025-06-18T16:33:04.439623
461,1151,1,4.3,2025-06-18T16:33:04.439742
462,1152,1,4.3,2025-06-18T16:33:04.439745
463,1153,1,4.3,2025-06-18T16:33:04.439747
464,1154,1,4.3,2025-06-18T16:33:04.439749
465,1155,1,4.3,2025-06-18T16:33:04.439751
466,1151,2,4.3,2025-06-18T16:33:04.439859
467,1152,2,4.3,2025-06-18T16:33:04.439861
468,1153,2,4.3,2025-06-18T16:33:04.439863
469,1154,2,4.3,2025-06-18T16:33:04.439865
470,1155,2,4.3,2025-06-18T16:33:04.439868
471,1151,4,4.3,2025-06-18T16:33:04.439984
472,1152,4,4.3,2025-06-18T16:33:04.439987
473,1153,4,4.3,2025-06-18T16:33:04.439989
474,1154,4,4.3,2025-06-18T16:33:04.439991
475,1155,4,4.3,2025-06-18T16:33:04.439993
476,1151,5,4.4,2025-06-18T16:33:04.440101
477,1152,5,4.4,2025-06-18T16:33:04.440104
478,1153,5,4.4,2025-06-18T16:33:04.440106
479,1154,5,4.4,2025-06-18T16:33:04.440108
480,1155,5,4.4,2025-06-18T16:33:04.440110
481,1201,1,4.3,2025-06-18T16:33:04.440230
482,1202,1,4.3,2025-06-18T16:33:04.440232
483,1203,1,4.3,2025-06-18T16:33:04.440235
484,1204,1,4.3,2025-06-18T16:33:04.440237
485,1205,1,4.3,2025-06-18T16:33:04.440240
486,1201,2,4.4,2025-06-18T16:33:04.440348
487,1202,2,4.4,2025-06-18T16:33:04.440350
488,1203,2,4.4,2025-06-18T16:33:04.440352
489,1204,2,4.4,2025-06-18T16:33:04.440354
490,1205,2,4.4,2025-06-18T16:33:04.440357
491,1201,4,4.4,2025-06-18T16:33:04.440465
492,1202,4,4.4,2025-06-18T16:33:04.440467
493,1203,4,4.4,2025-06-18T16:33:04.440469
494,1204,4,4.4,2025-06-18T16:33:04.440471
495,1205,4,4.4,2025-06-18T16:33:04.440473
496,1201,5,4.5,2025-06-18T16:33:04.440589
497,1202,5,4.5,2025-06-18T16:33:04.440592
498,1203,5,4.5,2025-06-18T16:33:04.440594
499,1204,5,4.5,2025-06-18T16:33:04.440596
500,1205,5,4.5,2025-06-18T16:33:04.440598
501,1251,1,4.2,2025-06-18T16:33:04.440710
502,1252,1,4.2,2025-06-18T16:33:04.440712
